CC = true;
		C = {cutNode, improving, formerPv, priorCapture, (ss-1)->moveCount > 1, ttMove != MOVE_NONE};
		
[0] Total 5344492 Hits 5088775 hit rate (%) 95.2153 size 0
[1] Total 941505 Hits 899143 hit rate (%) 95.5006 size 1
[2] Total 4402987 Hits 4189632 hit rate (%) 95.1543 size 1
[3] Total 3743900 Hits 3634061 hit rate (%) 97.0662 size 1
[4] Total 693141 Hits 670669 hit rate (%) 96.7579 size 2
[5] Total 3050759 Hits 2963392 hit rate (%) 97.1362 size 2
[6] Total 1600592 Hits 1454714 hit rate (%) 90.886 size 1
[7] Total 248364 Hits 228474 hit rate (%) 91.9916 size 2
[8] Total 1352228 Hits 1226240 hit rate (%) 90.6829 size 2
[9] Total 506836 Hits 467110 hit rate (%) 92.162 size 1
[10] Total 76565 Hits 71221 hit rate (%) 93.0203 size 2
[11] Total 430271 Hits 395889 hit rate (%) 92.0092 size 2
[12] Total 171011 Hits 164040 hit rate (%) 95.9237 size 2
[13] Total 24625 Hits 23418 hit rate (%) 95.0985 size 3
[14] Total 146386 Hits 140622 hit rate (%) 96.0625 size 3
[15] Total 335825 Hits 303070 hit rate (%) 90.2464 size 2
[16] Total 51940 Hits 47803 hit rate (%) 92.035 size 3
[17] Total 283885 Hits 255267 hit rate (%) 89.9192 size 3
[18] Total 4837656 Hits 4621665 hit rate (%) 95.5352 size 1
[19] Total 864940 Hits 827922 hit rate (%) 95.7202 size 2
[20] Total 3972716 Hits 3793743 hit rate (%) 95.4949 size 2
[21] Total 3572889 Hits 3470021 hit rate (%) 97.1209 size 2
[22] Total 668516 Hits 647251 hit rate (%) 96.8191 size 3
[23] Total 2904373 Hits 2822770 hit rate (%) 97.1903 size 3
[24] Total 1264767 Hits 1151644 hit rate (%) 91.0558 size 2
[25] Total 196424 Hits 180671 hit rate (%) 91.9801 size 3
[26] Total 1068343 Hits 970973 hit rate (%) 90.8859 size 3
[27] Total 12729 Hits 11603 hit rate (%) 91.1541 size 1
[28] Total 12712 Hits 11588 hit rate (%) 91.158 size 2
[29] Total 17 Hits 15 hit rate (%) 88.2353 size 2
[30] Total 8734 Hits 8092 hit rate (%) 92.6494 size 2
[31] Total 8725 Hits 8084 hit rate (%) 92.6533 size 3
[32] Total 9 Hits 8 hit rate (%) 88.8889 size 3
[33] Total 3995 Hits 3511 hit rate (%) 87.8849 size 2
[34] Total 3987 Hits 3504 hit rate (%) 87.8856 size 3
[35] Total 8 Hits 7 hit rate (%) 87.5 size 3
[36] Total 843 Hits 759 hit rate (%) 90.0356 size 2
[37] Total 841 Hits 757 hit rate (%) 90.0119 size 3
[38] Total 2 Hits 2 hit rate (%) 100 size 3
[39] Total 307 Hits 287 hit rate (%) 93.4853 size 3
[40] Total 307 Hits 287 hit rate (%) 93.4853 size 4
[42] Total 536 Hits 472 hit rate (%) 88.0597 size 3
[43] Total 534 Hits 470 hit rate (%) 88.015 size 4
[44] Total 2 Hits 2 hit rate (%) 100 size 4
[45] Total 11886 Hits 10844 hit rate (%) 91.2334 size 2
[46] Total 11871 Hits 10831 hit rate (%) 91.2392 size 3
[47] Total 15 Hits 13 hit rate (%) 86.6667 size 3
[48] Total 8427 Hits 7805 hit rate (%) 92.619 size 3
[49] Total 8418 Hits 7797 hit rate (%) 92.623 size 4
[50] Total 9 Hits 8 hit rate (%) 88.8889 size 4
[51] Total 3459 Hits 3039 hit rate (%) 87.8578 size 3
[52] Total 3453 Hits 3034 hit rate (%) 87.8656 size 4
[53] Total 6 Hits 5 hit rate (%) 83.3333 size 4
[54] Total 5331763 Hits 5077172 hit rate (%) 95.225 size 1
[55] Total 928793 Hits 887555 hit rate (%) 95.56 size 2
[56] Total 4402970 Hits 4189617 hit rate (%) 95.1543 size 2
[57] Total 3735166 Hits 3625969 hit rate (%) 97.0765 size 2
[58] Total 684416 Hits 662585 hit rate (%) 96.8103 size 3
[59] Total 3050750 Hits 2963384 hit rate (%) 97.1362 size 3
[60] Total 1596597 Hits 1451203 hit rate (%) 90.8935 size 2
[61] Total 244377 Hits 224970 hit rate (%) 92.0586 size 3
[62] Total 1352220 Hits 1226233 hit rate (%) 90.683 size 3
[63] Total 505993 Hits 466351 hit rate (%) 92.1655 size 2
[64] Total 75724 Hits 70464 hit rate (%) 93.0537 size 3
[65] Total 430269 Hits 395887 hit rate (%) 92.0092 size 3
[66] Total 170704 Hits 163753 hit rate (%) 95.928 size 3
[67] Total 24318 Hits 23131 hit rate (%) 95.1188 size 4
[68] Total 146386 Hits 140622 hit rate (%) 96.0625 size 4
[69] Total 335289 Hits 302598 hit rate (%) 90.2499 size 3
[70] Total 51406 Hits 47333 hit rate (%) 92.0768 size 4
[71] Total 283883 Hits 255265 hit rate (%) 89.9191 size 4
[72] Total 4825770 Hits 4610821 hit rate (%) 95.5458 size 2
[73] Total 853069 Hits 817091 hit rate (%) 95.7825 size 3
