CC = !((ss-1)->statScore < 22661);
		C = {cutNode, improving, formerPv, priorCapture, (ss-1)->moveCount > 1, ttMove != MOVE_NONE};
		
[0] Total 62340 Hits 52580 hit rate (%) 84.3439 size 0
[1] Total 10730 Hits 9017 hit rate (%) 84.0354 size 1
[2] Total 51610 Hits 43563 hit rate (%) 84.4081 size 1
[3] Total 59596 Hits 50088 hit rate (%) 84.0459 size 1
[4] Total 10514 Hits 8841 hit rate (%) 84.0879 size 2
[5] Total 49082 Hits 41247 hit rate (%) 84.0369 size 2
[6] Total 2744 Hits 2492 hit rate (%) 90.8163 size 1
[7] Total 216 Hits 176 hit rate (%) 81.4815 size 2
[8] Total 2528 Hits 2316 hit rate (%) 91.6139 size 2
[9] Total 2365 Hits 2211 hit rate (%) 93.4884 size 1
[10] Total 172 Hits 152 hit rate (%) 88.3721 size 2
[11] Total 2193 Hits 2059 hit rate (%) 93.8896 size 2
[12] Total 911 Hits 878 hit rate (%) 96.3776 size 2
[13] Total 81 Hits 73 hit rate (%) 90.1235 size 3
[14] Total 830 Hits 805 hit rate (%) 96.988 size 3
[15] Total 1454 Hits 1333 hit rate (%) 91.6781 size 2
[16] Total 91 Hits 79 hit rate (%) 86.8132 size 3
[17] Total 1363 Hits 1254 hit rate (%) 92.0029 size 3
[18] Total 59975 Hits 50369 hit rate (%) 83.9833 size 1
[19] Total 10558 Hits 8865 hit rate (%) 83.9648 size 2
[20] Total 49417 Hits 41504 hit rate (%) 83.9873 size 2
[21] Total 58685 Hits 49210 hit rate (%) 83.8545 size 2
[22] Total 10433 Hits 8768 hit rate (%) 84.041 size 3
[23] Total 48252 Hits 40442 hit rate (%) 83.8141 size 3
[24] Total 1290 Hits 1159 hit rate (%) 89.845 size 2
[25] Total 125 Hits 97 hit rate (%) 77.6 size 3
[26] Total 1165 Hits 1062 hit rate (%) 91.1588 size 3
[27] Total 245 Hits 190 hit rate (%) 77.551 size 1
[28] Total 241 Hits 188 hit rate (%) 78.0083 size 2
[29] Total 4 Hits 2 hit rate (%) 50 size 2
[30] Total 228 Hits 176 hit rate (%) 77.193 size 2
[31] Total 225 Hits 174 hit rate (%) 77.3333 size 3
[32] Total 3 Hits 2 hit rate (%) 66.6667 size 3
[33] Total 17 Hits 14 hit rate (%) 82.3529 size 2
[34] Total 16 Hits 14 hit rate (%) 87.5 size 3
[35] Total 1 Hits 0 hit rate (%) 0 size 3
[36] Total 11 Hits 7 hit rate (%) 63.6364 size 2
[37] Total 11 Hits 7 hit rate (%) 63.6364 size 3
[39] Total 10 Hits 6 hit rate (%) 60 size 3
[40] Total 10 Hits 6 hit rate (%) 60 size 4
[42] Total 1 Hits 1 hit rate (%) 100 size 3
[43] Total 1 Hits 1 hit rate (%) 100 size 4
[45] Total 234 Hits 183 hit rate (%) 78.2051 size 2
[46] Total 230 Hits 181 hit rate (%) 78.6957 size 3
[47] Total 4 Hits 2 hit rate (%) 50 size 3
[48] Total 218 Hits 170 hit rate (%) 77.9817 size 3
